3	3	4	4	8	8	9	9	24	24	25	25	29	29	30	30	
3	2	2	4	8	7	7	9	24	23	23	25	29	28	28	30	
5	2	6	6	10	10	7	11	26	23	27	27	31	31	28	32	
5	5	6	1	1	10	11	11	26	26	27	22	22	31	32	32	
13	13	14	1	18	18	19	19	34	34	35	35	22	39	40	40	
13	12	14	14	18	17	17	19	34	-1	33	35	39	39	38	40	
15	12	12	16	20	17	21	21	36	33	33	37	41	38	38	42	
15	15	16	16	20	20	21	0	36	36	37	37	41	41	42	42	
45	45	46	46	50	50	51	0	0	66	67	67	71	71	72	72	
45	44	44	46	50	49	51	51	66	66	65	67	71	70	70	72	
47	44	48	48	52	49	49	53	68	65	65	69	73	73	70	74	
47	47	48	43	52	52	53	53	68	68	69	69	64	73	74	74	
55	55	56	43	43	60	61	61	76	76	77	64	64	81	82	82	
55	54	56	56	60	60	59	61	76	75	77	77	81	81	80	82	
57	54	54	58	62	59	59	63	78	75	75	79	83	80	80	84	
57	57	58	58	62	62	63	63	78	78	79	79	83	83	84	84	
